@relation Audio-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 {1,2,}

@data
2.4214,0.0020407,0.00083701,-0.090906,2
2.1179,0.0013119,0.00046079,-0.10134,2
2.5689,0.0022587,0.00070262,-0.086392,2
1.9033,0.0024895,0.0009174,-0.10709,2
2.1925,0.0012074,0.00041251,-0.099082,2
2.8684,0.052717,0.0043684,-0.057797,2
2.9263,0.0011643,0.00089017,-0.07503,2
3.2636,0.0019021,0.001474,-0.063178,2
2.0039,0.0019696,0.00080542,-0.10422,2
2.5443,0.0014903,0.00063554,-0.087481,2
3.0852,0.0014636,0.0006777,-0.070263,2
1.7593,0.0015248,0.00047124,-0.11264,2
2.2236,0.0015855,0.00077881,-0.097394,2
2.7347,0.0027712,0.0036441,-0.076151,2
2.7481,0.0016761,0.00062542,-0.080985,2
3.3642,0.0012469,0.0014677,-0.060165,2
2.0643,0.002845,0.00088159,-0.10195,2
2.8025,0.0019555,0.0011307,-0.078355,2
2.578,0.0028335,0.00096039,-0.08553,2
1.8885,0.0017127,0.00030437,-0.10877,2
2.0582,0.0015175,0.0005144,-0.10309,2
2.5072,0.0030043,0.0025483,-0.085113,2
2.5924,0.0022834,0.00075622,-0.085553,2
3.7945,0.0019077,0.0024318,-0.044755,2
2.1651,0.0012092,0.00053154,-0.099753,2
2.5697,0.0013775,0.0014084,-0.08543,2
3.1438,0.0034795,0.0011499,-0.067103,2
2.1271,0.0028272,0.0006635,-0.10032,2
2.4999,0.0016412,0.0012185,-0.087888,2
3.095,0.0039642,0.0037413,-0.064253,2
2.5781,0.00094951,0.00054543,-0.086697,2
3.7553,0.0020395,0.0017873,-0.047027,2
2.3095,0.0009354,0.00066025,-0.095033,2
2.714,0.0017305,0.0014651,-0.080669,2
2.5385,0.0010349,0.0005428,-0.087936,2
2.0566,0.0015305,0.00085695,-0.10258,2
1.9874,0.0020148,0.00069302,-0.10491,2
3.3782,0.21133,0.0031028,-0.0026947,2
2.3831,0.0013997,0.00089525,-0.092189,2
3.9491,0.0026968,0.002259,-0.039933,2
2.2017,0.0013678,0.0011023,-0.09761,2
2.519,0.001553,0.0014856,-0.086865,2
2.1057,0.0011387,0.0004674,-0.10176,2
2.049,0.0032942,0.00066469,-0.10268,2
2.2864,0.0012213,0.00072314,-0.095588,2
2.6463,0.015075,0.0029837,-0.076859,2
2.3317,0.0010762,0.00056646,-0.094448,2
3.2445,0.0015288,0.0016677,-0.063559,2
2.5849,0.0012935,0.0011989,-0.085317,2
2.0954,0.0017375,0.00045475,-0.10195,2
2.2849,0.0012195,0.00085189,-0.095423,2
